medicine_id,medicine_name,category,price_per_unit,stock_quantity,expiry_date
M0001,Paracetamol,Analgesic,32.15,25,2026-01-31
M0002,Amoxicillin,Antibiotic,12.62,142,2024-02-24
M0003,Cetirizine,Antihistamine,34.0,558,2023-12-23
M0004,Metformin,Antidiabetic,29.73,32,2023-05-03
M0005,Ibuprofen,Analgesic,5.14,238,2028-08-31
M0006,Azithromycin,Antibiotic,30.3,574,2025-03-25
M0007,Vitamin C,Supplement,35.94,558,2027-09-15
M0008,Aspirin,Analgesic,11.41,284,2023-01-27
M0009,Insulin,Antidiabetic,38.06,163,2027-09-28
M0010,Montelukast,Antiallergy,17.34,159,2025-05-31
M0011,Doxycycline,Antibiotic,47.88,344,2024-02-23
M0012,Ciprofloxacin,Antibiotic,5.09,99,2027-01-10
M0013,Ranitidine,Antacid,42.45,270,2023-06-27
M0014,Omeprazole,Antacid,36.62,549,2024-05-26
M0015,Atorvastatin,Statin,48.67,387,2023-11-19
M0016,Losartan,Antihypertensive,27.83,370,2029-06-22
M0017,Amlodipine,Antihypertensive,10.02,71,2023-07-07
M0018,Metoprolol,Antihypertensive,33.23,296,2023-11-23
M0019,Levothyroxine,Supplement,42.84,103,2027-04-06
M0020,Prednisone,Analgesic,14.26,373,2024-10-28
M0021,Gabapentin,Analgesic,18.82,214,2025-12-29
M0022,Sertraline,Antidepressant,35.24,73,2029-10-31
M0023,Fluoxetine,Antidepressant,31.93,546,2025-09-29
M0024,Diazepam,Antidepressant,8.59,388,2026-01-10
M0025,Alprazolam,Antidepressant,49.48,570,2025-06-18
M0026,Clonazepam,Antidepressant,34.39,57,2025-07-27
M0027,Zolpidem,Antidepressant,41.18,323,2027-07-02
M0028,Tramadol,Analgesic,13.75,216,2029-05-12
M0029,Furosemide,Antihypertensive,43.88,322,2025-05-20
M0030,Spironolactone,Antihypertensive,32.94,405,2028-02-23
M0031,Hydrochlorothiazide,Antihypertensive,7.57,142,2025-10-07
M0032,Warfarin,Antibiotic,37.38,551,2025-12-12
M0033,Clopidogrel,Analgesic,37.48,438,2029-07-18
M0034,Sitagliptin,Antidiabetic,20.27,224,2024-07-20
M0035,Glipizide,Antidiabetic,25.72,93,2023-07-12
M0036,Glimepiride,Antidiabetic,43.12,156,2024-10-17
M0037,Pioglitazone,Antidiabetic,39.71,432,2029-09-08
