doctor_id,name,specialization,hospital_name
D101,Dr. Sameer Chakraborty,Nephrology,Rainbow Clinic
D102,Dr. Komal Pandey,Urology,JIPMER Puducherry
D103,Dr. Santosh Kadam,Oncology,Wockhardt Hospital
D104,Dr. Pankaj Verma,Endocrinology,PGI Chandigarh
D105,Dr. Gaurav Dwivedi,Dermatology,Sunshine Hospital
D106,Dr. Manoj Das,Pathology,Manipal Hospital
D107,Dr. Jyoti Pandey,Cardiology,Aakash Healthcare
D108,Dr. Neha Bisht,Neurology,Lilavati Hospital
D109,Dr. Meera Jadhav,Cardiology,CMC Vellore
D110,Dr. Neha Chowdary,Urology,Narayana Health
D111,Dr. Anjali Iyer,Orthopedics,Aakash Healthcare
D112,Dr. Arjun Srivastava,Radiology,BLK Hospital
D113,Dr. Priya Narayanan,Pulmonology,Lilavati Hospital
D114,Dr. Smita Kapoor,Nephrology,NIMHANS Bengaluru
D115,Dr. Usha Pathak,Gynecology,Global Hospital
D116,Dr. Sanjay Dixit,Pulmonology,Fortis Hospital
D117,Dr. Neha Dixit,Gastroenterology,Nair Hospital
D118,Dr. Hemant Prasad,Radiology,PGI Chandigarh
D119,Dr. Divya Desai,Endocrinology,Hinduja Hospital
D120,Dr. Nikhil Arora,Endocrinology,KEM Hospital
D121,Dr. Lalita Oberoi,Rheumatology,Jupiter Hospital
D122,Dr. Arvind Verma,Rheumatology,Medanta Hospital
D123,Dr. Prakash Sethi,Orthopedics,Aakash Healthcare
D124,Dr. Deepa Chauhan,Urology,City Care Hospital
D125,Dr. Naveen Patil,Radiology,Care Hospital
D126,Dr. Rupa Dwivedi,Rheumatology,Narayana Health
D127,Dr. Swati Iyer,Cardiology,Sunshine Hospital
D128,Dr. Shyam Kadam,Anesthesiology,BLK Hospital
D129,Dr. Santosh Solanki,Nephrology,BLK Hospital
D130,Dr. Ajay Bhatia,Neurology,Rainbow Clinic
D131,Dr. Arun Roy,Pathology,Hinduja Hospital
D132,Dr. Sunita Agarwal,Dermatology,SGPGI Lucknow
D133,Dr. Dhruv Kumar,Pathology,Nair Hospital
D134,Dr. Rahul Patil,ENT,NIMHANS Bengaluru
D135,Dr. Rohit Kulkarni,Anesthesiology,BLK Hospital
D136,Dr. Pramod Bose,General Medicine,Global Hospital
D137,Dr. Seema Dwivedi,Pathology,Wockhardt Hospital
D138,Dr. Amita Jain,Orthopedics,CMC Vellore
D139,Dr. Rupali Chakraborty,Oncology,Apollo Clinic
D140,Dr. Sheela Mehta,Pulmonology,Rainbow Clinic
D141,Dr. Ramesh Nair,Pathology,Sunshine Hospital
D142,Dr. Kamla Venkatesh,Radiology,Nair Hospital
D143,Dr. Rajan Patil,Neurology,Medanta Hospital
D144,Dr. Ashok Goyal,Rheumatology,Yashoda Hospital
D145,Dr. Rajesh Mukherjee,Ophthalmology,Narayana Health
D146,Dr. Ajay Gupta,Oncology,Kokilaben Hospital
D147,Dr. Poonam Babu,Gastroenterology,Max Healthcare
D148,Dr. Bharat Khanna,Urology,Skin Glow Clinic
D149,Dr. Kapil Mishra,General Medicine,Lilavati Hospital
D150,Dr. Bharat Mehta,Anesthesiology,Sharda Hospital
D151,Dr. Pradeep Shinde,Rheumatology,Wockhardt Hospital
D152,Dr. Yogesh Chatterjee,Pathology,Venkateshwar Hospital
D153,Dr. Sneha Singh,Ophthalmology,Narayana Health
D154,Dr. Nilesh More,Rheumatology,Nair Hospital
D155,Dr. Ashok Khanna,Cardiology,NIMHANS Bengaluru
D156,Dr. Seema Chowdary,Gastroenterology,Medanta Hospital
D157,Dr. Smita Rajan,Ophthalmology,Sharda Hospital
D158,Dr. Suresh Reddy,ENT,City Care Hospital
D159,Dr. Smita Sharma,Pediatrics,BLK Hospital
D160,Dr. Shyam Malhotra,Psychiatry,Breach Candy Hospital
D161,Dr. Mohit Krishnan,Endocrinology,Skin Glow Clinic
D162,Dr. Suresh Solanki,Nephrology,Ruby Hall Clinic
D163,Dr. Sanjay Bhatt,Radiology,Manipal Hospital
D164,Dr. Anita Anand,Pathology,PGI Chandigarh
D165,Dr. Sandeep Sen,General Medicine,Venkateshwar Hospital
D166,Dr. Nisha Sethi,Oncology,Metro Hospital
D167,Dr. Hemant Kumar,Urology,Aakash Healthcare
D168,Dr. Manju Kulkarni,Pediatrics,Yashoda Hospital
D169,Dr. Anjali Pathak,Endocrinology,Nair Hospital
D170,Dr. Kalpana Upadhyay,Rheumatology,Dharamshila Hospital
D171,Dr. Vijay Jain,Cardiology,Fortis Hospital
D172,Dr. Rakesh Srivastava,Dermatology,Ruby Hall Clinic
D173,Dr. Anjali Roy,Anesthesiology,Manipal Hospital
D174,Dr. Rohit Naidu,Orthopedics,Yashoda Hospital
D175,Dr. Neeraj Solanki,Nephrology,Care Hospital
D176,Dr. Ramesh Mane,Dermatology,Wockhardt Hospital
D177,Dr. Nikhil Bansal,Oncology,Lilavati Hospital
D178,Dr. Saroj Sharma,Gynecology,Fortis Hospital
D179,Dr. Arjun Patil,Gastroenterology,Skin Glow Clinic
D180,Dr. Pallavi Shinde,Rheumatology,KEM Hospital
D181,Dr. Ashok Awasthi,Ophthalmology,Ruby Hall Clinic
D182,Dr. Shyam Thakur,Gastroenterology,Jupiter Hospital
D183,Dr. Lata Dixit,Rheumatology,Care Hospital
D184,Dr. Anita Verma,Rheumatology,Ruby Hall Clinic
D185,Dr. Rekha Jain,Anesthesiology,Sahyadri Hospital
D186,Dr. Madhavi Prasad,Pathology,Osmed Hospital
D187,Dr. Neeraj Chauhan,Dermatology,AIIMS Delhi
D188,Dr. Savita Kadam,Psychiatry,Jupiter Hospital
D189,Dr. Pradeep Chopra,General Medicine,Hinduja Hospital
D190,Dr. Kiran Pawar,Pulmonology,CMC Vellore
D191,Dr. Meena Menon,Pulmonology,Jupiter Hospital
D192,Dr. Dhruv Anand,Urology,Medanta Hospital
D193,Dr. Trupti Ghosh,Anesthesiology,Columbia Asia
D194,Dr. Dhruv Kadam,Oncology,Venkateshwar Hospital
D195,Dr. Lalita Ghosh,Urology,AIIMS Delhi
D196,Dr. Arvind Bansal,Dermatology,AIIMS Delhi
D197,Dr. Prakash Soni,Pathology,Jupiter Hospital
D198,Dr. Arvind Rao,Endocrinology,Ruby Hall Clinic
D199,Dr. Vijay Goyal,Ophthalmology,Rainbow Clinic
D200,Dr. Meera Mishra,Neurology,Amrita Hospital
D201,Dr. Komal Narayanan,Urology,AIIMS Delhi
D202,Dr. Priya Kumar,Anesthesiology,City Care Hospital
D203,Dr. Shyam Awasthi,Gynecology,Yashoda Hospital
D204,Dr. Gaurav Shah,Psychiatry,Sassoon Hospital
D205,Dr. Neeraj Khanna,Endocrinology,Breach Candy Hospital
D206,Dr. Meena Mehta,Pathology,Medanta Hospital
D207,Dr. Rakesh Shinde,Pulmonology,AIIMS Delhi
D208,Dr. Harish Bisht,Anesthesiology,Nair Hospital
D209,Dr. Nisha Nambiar,Gastroenterology,Sassoon Hospital
D210,Dr. Kavita Jain,Pulmonology,Sunshine Hospital
D211,Dr. Sneha Sharma,Oncology,Medanta Hospital
D212,Dr. Santosh Saxena,Psychiatry,Breach Candy Hospital
D213,Dr. Ramesh Banerjee,Orthopedics,Breach Candy Hospital
D214,Dr. Geeta Dwivedi,Endocrinology,City Care Hospital
D215,Dr. Sheela Menon,ENT,Care Hospital
D216,Dr. Arvind Narayanan,Ophthalmology,Columbia Asia
D217,Dr. Madhavi Negi,Neurology,Hinduja Hospital
D218,Dr. Vivek Pawar,Dermatology,Sahyadri Hospital
D219,Dr. Meena Sethi,Pathology,Manipal Hospital
D220,Dr. Ajay Mishra,Neurology,Aster Hospital
D221,Dr. Deepa Patel,Oncology,Sharda Hospital
D222,Dr. Lata Varma,Anesthesiology,City Care Hospital
D223,Dr. Sunil Shinde,Psychiatry,Hinduja Hospital
D224,Dr. Varsha Soni,Neurology,Yashoda Hospital
D225,Dr. Rohit Tomar,Pediatrics,Aakash Healthcare
D226,Dr. Swati Varma,Cardiology,Care Hospital
D227,Dr. Arvind Reddy,Psychiatry,Skin Glow Clinic
D228,Dr. Nilesh Thakur,Gynecology,JIPMER Puducherry
D229,Dr. Sameer Malhotra,Radiology,PGI Chandigarh
D230,Dr. Vijay More,ENT,Metro Hospital
D231,Dr. Vandana Deshpande,Rheumatology,CMC Vellore
D232,Dr. Saroj Kadam,Psychiatry,Wockhardt Hospital
D233,Dr. Divya Mishra,Ophthalmology,Ruby Hall Clinic
D234,Dr. Rupali Soni,Orthopedics,Wockhardt Hospital
D235,Dr. Umesh Verma,Ophthalmology,Sharda Hospital
D236,Dr. Swati Chowdary,Orthopedics,Osmed Hospital
D237,Dr. Kavita Malhotra,Pathology,Sahyadri Hospital
D238,Dr. Harish Joshi,Radiology,Sahyadri Hospital
D239,Dr. Harish Gill,ENT,Kokilaben Hospital
D240,Dr. Vandana Rawat,ENT,Max Healthcare
